Date : 2024-04-01 15:18:30
Directory : c:\xampp\htdocs\CLAU
Total : 225 files,  20481 codes, 3348 comments, 3073 blanks, all 26902 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\PhpToken.php                             | PHP        |         57 |         31 |         16 |        104 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\README.md                                | Markdown   |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\Attribute.php            | PHP        |         18 |          9 |          5 |         32 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\PhpToken.php             | PHP        |          6 |          8 |          3 |         17 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\Stringable.php           | PHP        |          7 |         11 |          3 |         21 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\UnhandledMatchError.php  | PHP        |          6 |          8 |          3 |         17 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\ValueError.php           | PHP        |          6 |          8 |          3 |         17 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\bootstrap.php                            | PHP        |         29 |          8 |          6 |         43 |
| c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\composer.json                            | JSON       |         37 |          0 |          1 |         38 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\composer.json                                  | JSON       |         60 |          0 |          1 |         61 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Dotenv.php                                 | PHP        |        104 |        132 |         32 |        268 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Exception\ExceptionInterface.php           | PHP        |          7 |          1 |          5 |         13 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Exception\InvalidEncodingException.php     | PHP        |          7 |          1 |          5 |         13 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Exception\InvalidFileException.php         | PHP        |          7 |          1 |          5 |         13 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Exception\InvalidPathException.php         | PHP        |          7 |          1 |          5 |         13 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Exception\ValidationException.php          | PHP        |          7 |          1 |          5 |         13 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Loader\Loader.php                          | PHP        |         29 |         11 |          8 |         48 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Loader\LoaderInterface.php                 | PHP        |          8 |          8 |          5 |         21 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Loader\Resolver.php                        | PHP        |         32 |         27 |          7 |         66 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Parser\Entry.php                           | PHP        |         22 |         29 |          9 |         60 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Parser\EntryParser.php                     | PHP        |        166 |        110 |         25 |        301 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Parser\Lexer.php                           | PHP        |         27 |         21 |         11 |         59 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Parser\Lines.php                           | PHP        |         60 |         49 |         19 |        128 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Parser\Parser.php                          | PHP        |         30 |         18 |          6 |         54 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Parser\ParserInterface.php                 | PHP        |          7 |          9 |          4 |         20 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Parser\Value.php                           | PHP        |         35 |         41 |         13 |         89 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\AdapterRepository.php           | PHP        |         41 |         53 |         14 |        108 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\AdapterInterface.php    | PHP        |          7 |          5 |          4 |         16 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\ApacheAdapter.php       | PHP        |         37 |         42 |         11 |         90 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\ArrayAdapter.php        | PHP        |         31 |         38 |         12 |         81 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\EnvConstAdapter.php     | PHP        |         41 |         36 |         13 |         90 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\GuardedWriter.php       | PHP        |         31 |         44 |         11 |         86 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\ImmutableWriter.php     | PHP        |         41 |         54 |         16 |        111 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\MultiReader.php         | PHP        |         22 |         19 |          8 |         49 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\MultiWriter.php         | PHP        |         29 |         27 |          9 |         65 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\PutenvAdapter.php       | PHP        |         39 |         40 |         13 |         92 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\ReaderInterface.php     | PHP        |          7 |          7 |          4 |         18 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\ReplacingWriter.php     | PHP        |         40 |         50 |         15 |        105 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\ServerConstAdapter.php  | PHP        |         41 |         36 |         13 |         90 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\Adapter\WriterInterface.php     | PHP        |          8 |         15 |          5 |         28 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\RepositoryBuilder.php           | PHP        |        130 |        109 |         34 |        273 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Repository\RepositoryInterface.php         | PHP        |         10 |         35 |          7 |         52 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Store\FileStore.php                        | PHP        |         30 |         31 |         12 |         73 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Store\File\Paths.php                       | PHP        |         19 |         19 |          7 |         45 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Store\File\Reader.php                      | PHP        |         35 |         37 |         10 |         82 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Store\StoreBuilder.php                     | PHP        |         51 |         74 |         17 |        142 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Store\StoreInterface.php                   | PHP        |          7 |          7 |          4 |         18 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Store\StringStore.php                      | PHP        |         15 |         17 |          6 |         38 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Util\Regex.php                             | PHP        |         43 |         58 |         12 |        113 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Util\Str.php                               | PHP        |         39 |         51 |          9 |         99 |
| c:\xampp\htdocs\CLAU\SITE\vendor\vlucas\phpdotenv\src\Validator.php                              | PHP        |        102 |         88 |         20 |        210 |
| Total                                                                                            |            |     20,481 |      3,348 |      3,073 |     26,902 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
